          10
   1     0     1     3    -3     1     1   1  particle
   2     0     1     3    -1     1     1   1  particle
   3     0     1     3     1     1     1   1  particle
   4     0     1     3     3     1     1   1  particle
   5     0     1     3    -3    -1     2   1  particle
   6     0     1     3    -1    -1     2   1  particle
   7     0     1     3     1    -1     2   1  particle
   8     0     1     3     3    -1     2   1  particle
   9     0     1     1    -1    -1     3   1  particle
  10     0     1     1     1    -1     3   1  particle
